match_id,date,team,opponent,tournament,tournament_category,home_or_away,neutral,goals_for,goals_against,is_world_cup,world_cup_year,year,goal_difference,result,win,draw,loss,points,dominant_win
37835,2014-06-14,Costa Rica,Uruguay,FIFA World Cup,World Cup (final tournament),away,True,3,1,True,2014,2014,2,win,True,False,False,3,False
37835,2014-06-14,Uruguay,Costa Rica,FIFA World Cup,World Cup (final tournament),home,True,1,3,True,2014,2014,-2,loss,False,False,True,0,False
37836,2014-06-15,Argentina,Bosnia and Herzegovina,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37836,2014-06-15,Bosnia and Herzegovina,Argentina,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37837,2014-06-15,France,Honduras,FIFA World Cup,World Cup (final tournament),home,True,3,0,True,2014,2014,3,win,True,False,False,3,True
37837,2014-06-15,Honduras,France,FIFA World Cup,World Cup (final tournament),away,True,0,3,True,2014,2014,-3,loss,False,False,True,0,False
37838,2014-06-15,Ecuador,Switzerland,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37838,2014-06-15,Switzerland,Ecuador,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37839,2014-06-16,Iran,Nigeria,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37839,2014-06-16,Nigeria,Iran,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37840,2014-06-16,Ghana,United States,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37840,2014-06-16,United States,Ghana,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37841,2014-06-16,Germany,Portugal,FIFA World Cup,World Cup (final tournament),home,True,4,0,True,2014,2014,4,win,True,False,False,3,True
37841,2014-06-16,Portugal,Germany,FIFA World Cup,World Cup (final tournament),away,True,0,4,True,2014,2014,-4,loss,False,False,True,0,False
37842,2014-06-17,Algeria,Belgium,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37842,2014-06-17,Belgium,Algeria,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37843,2014-06-17,Brazil,Mexico,FIFA World Cup,World Cup (final tournament),home,False,0,0,True,2014,2014,0,draw,False,True,False,1,False
37843,2014-06-17,Mexico,Brazil,FIFA World Cup,World Cup (final tournament),away,False,0,0,True,2014,2014,0,draw,False,True,False,1,False
37844,2014-06-17,Russia,South Korea,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37844,2014-06-17,South Korea,Russia,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37845,2014-06-18,Australia,Netherlands,FIFA World Cup,World Cup (final tournament),home,True,2,3,True,2014,2014,-1,loss,False,False,True,0,False
37845,2014-06-18,Netherlands,Australia,FIFA World Cup,World Cup (final tournament),away,True,3,2,True,2014,2014,1,win,True,False,False,3,False
37846,2014-06-18,Cameroon,Croatia,FIFA World Cup,World Cup (final tournament),home,True,0,4,True,2014,2014,-4,loss,False,False,True,0,False
37846,2014-06-18,Croatia,Cameroon,FIFA World Cup,World Cup (final tournament),away,True,4,0,True,2014,2014,4,win,True,False,False,3,True
37848,2014-06-18,Chile,Spain,FIFA World Cup,World Cup (final tournament),away,True,2,0,True,2014,2014,2,win,True,False,False,3,False
37848,2014-06-18,Spain,Chile,FIFA World Cup,World Cup (final tournament),home,True,0,2,True,2014,2014,-2,loss,False,False,True,0,False
37849,2014-06-19,England,Uruguay,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37849,2014-06-19,Uruguay,England,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37850,2014-06-19,Greece,Japan,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37850,2014-06-19,Japan,Greece,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37851,2014-06-19,Colombia,Ivory Coast,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37851,2014-06-19,Ivory Coast,Colombia,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37852,2014-06-20,Ecuador,Honduras,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37852,2014-06-20,Honduras,Ecuador,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37853,2014-06-20,Costa Rica,Italy,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37853,2014-06-20,Italy,Costa Rica,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37854,2014-06-20,France,Switzerland,FIFA World Cup,World Cup (final tournament),away,True,5,2,True,2014,2014,3,win,True,False,False,3,True
37854,2014-06-20,Switzerland,France,FIFA World Cup,World Cup (final tournament),home,True,2,5,True,2014,2014,-3,loss,False,False,True,0,False
37855,2014-06-21,Argentina,Iran,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37855,2014-06-21,Iran,Argentina,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37856,2014-06-21,Germany,Ghana,FIFA World Cup,World Cup (final tournament),home,True,2,2,True,2014,2014,0,draw,False,True,False,1,False
37856,2014-06-21,Ghana,Germany,FIFA World Cup,World Cup (final tournament),away,True,2,2,True,2014,2014,0,draw,False,True,False,1,False
37858,2014-06-21,Bosnia and Herzegovina,Nigeria,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37858,2014-06-21,Nigeria,Bosnia and Herzegovina,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37859,2014-06-22,Portugal,United States,FIFA World Cup,World Cup (final tournament),away,True,2,2,True,2014,2014,0,draw,False,True,False,1,False
37859,2014-06-22,United States,Portugal,FIFA World Cup,World Cup (final tournament),home,True,2,2,True,2014,2014,0,draw,False,True,False,1,False
37860,2014-06-22,Algeria,South Korea,FIFA World Cup,World Cup (final tournament),away,True,4,2,True,2014,2014,2,win,True,False,False,3,False
37860,2014-06-22,South Korea,Algeria,FIFA World Cup,World Cup (final tournament),home,True,2,4,True,2014,2014,-2,loss,False,False,True,0,False
37862,2014-06-22,Belgium,Russia,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37862,2014-06-22,Russia,Belgium,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37863,2014-06-23,Australia,Spain,FIFA World Cup,World Cup (final tournament),home,True,0,3,True,2014,2014,-3,loss,False,False,True,0,False
37863,2014-06-23,Spain,Australia,FIFA World Cup,World Cup (final tournament),away,True,3,0,True,2014,2014,3,win,True,False,False,3,True
37864,2014-06-23,Brazil,Cameroon,FIFA World Cup,World Cup (final tournament),home,False,4,1,True,2014,2014,3,win,True,False,False,3,True
37864,2014-06-23,Cameroon,Brazil,FIFA World Cup,World Cup (final tournament),away,False,1,4,True,2014,2014,-3,loss,False,False,True,0,False
37865,2014-06-23,Croatia,Mexico,FIFA World Cup,World Cup (final tournament),home,True,1,3,True,2014,2014,-2,loss,False,False,True,0,False
37865,2014-06-23,Mexico,Croatia,FIFA World Cup,World Cup (final tournament),away,True,3,1,True,2014,2014,2,win,True,False,False,3,False
37866,2014-06-23,Chile,Netherlands,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2014,2014,-2,loss,False,False,True,0,False
37866,2014-06-23,Netherlands,Chile,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2014,2014,2,win,True,False,False,3,False
37867,2014-06-24,Costa Rica,England,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37867,2014-06-24,England,Costa Rica,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37868,2014-06-24,Greece,Ivory Coast,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37868,2014-06-24,Ivory Coast,Greece,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37869,2014-06-24,Italy,Uruguay,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37869,2014-06-24,Uruguay,Italy,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37870,2014-06-24,Colombia,Japan,FIFA World Cup,World Cup (final tournament),away,True,4,1,True,2014,2014,3,win,True,False,False,3,True
37870,2014-06-24,Japan,Colombia,FIFA World Cup,World Cup (final tournament),home,True,1,4,True,2014,2014,-3,loss,False,False,True,0,False
37872,2014-06-25,Honduras,Switzerland,FIFA World Cup,World Cup (final tournament),home,True,0,3,True,2014,2014,-3,loss,False,False,True,0,False
37872,2014-06-25,Switzerland,Honduras,FIFA World Cup,World Cup (final tournament),away,True,3,0,True,2014,2014,3,win,True,False,False,3,True
37873,2014-06-25,Argentina,Nigeria,FIFA World Cup,World Cup (final tournament),away,True,3,2,True,2014,2014,1,win,True,False,False,3,False
37873,2014-06-25,Nigeria,Argentina,FIFA World Cup,World Cup (final tournament),home,True,2,3,True,2014,2014,-1,loss,False,False,True,0,False
37874,2014-06-25,Bosnia and Herzegovina,Iran,FIFA World Cup,World Cup (final tournament),home,True,3,1,True,2014,2014,2,win,True,False,False,3,False
37874,2014-06-25,Iran,Bosnia and Herzegovina,FIFA World Cup,World Cup (final tournament),away,True,1,3,True,2014,2014,-2,loss,False,False,True,0,False
37875,2014-06-25,Ecuador,France,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37875,2014-06-25,France,Ecuador,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37876,2014-06-26,Algeria,Russia,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37876,2014-06-26,Russia,Algeria,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37877,2014-06-26,Belgium,South Korea,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37877,2014-06-26,South Korea,Belgium,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37878,2014-06-26,Ghana,Portugal,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37878,2014-06-26,Portugal,Ghana,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37879,2014-06-26,Germany,United States,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37879,2014-06-26,United States,Germany,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37880,2014-06-28,Brazil,Chile,FIFA World Cup,World Cup (final tournament),home,False,1,1,True,2014,2014,0,draw,False,True,False,1,False
37880,2014-06-28,Chile,Brazil,FIFA World Cup,World Cup (final tournament),away,False,1,1,True,2014,2014,0,draw,False,True,False,1,False
37881,2014-06-28,Colombia,Uruguay,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2014,2014,2,win,True,False,False,3,False
37881,2014-06-28,Uruguay,Colombia,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2014,2014,-2,loss,False,False,True,0,False
37882,2014-06-29,Costa Rica,Greece,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37882,2014-06-29,Greece,Costa Rica,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2014,2014,0,draw,False,True,False,1,False
37883,2014-06-29,Mexico,Netherlands,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37883,2014-06-29,Netherlands,Mexico,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37885,2014-06-30,France,Nigeria,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2014,2014,2,win,True,False,False,3,False
37885,2014-06-30,Nigeria,France,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2014,2014,-2,loss,False,False,True,0,False
37886,2014-06-30,Algeria,Germany,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37886,2014-06-30,Germany,Algeria,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37887,2014-07-01,Argentina,Switzerland,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37887,2014-07-01,Switzerland,Argentina,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37888,2014-07-01,Belgium,United States,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2014,2014,1,win,True,False,False,3,False
37888,2014-07-01,United States,Belgium,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37890,2014-07-04,Brazil,Colombia,FIFA World Cup,World Cup (final tournament),home,False,2,1,True,2014,2014,1,win,True,False,False,3,False
37890,2014-07-04,Colombia,Brazil,FIFA World Cup,World Cup (final tournament),away,False,1,2,True,2014,2014,-1,loss,False,False,True,0,False
37891,2014-07-04,France,Germany,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37891,2014-07-04,Germany,France,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37892,2014-07-05,Argentina,Belgium,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
37892,2014-07-05,Belgium,Argentina,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37893,2014-07-05,Costa Rica,Netherlands,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37893,2014-07-05,Netherlands,Costa Rica,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37895,2014-07-08,Brazil,Germany,FIFA World Cup,World Cup (final tournament),home,False,1,7,True,2014,2014,-6,loss,False,False,True,0,False
37895,2014-07-08,Germany,Brazil,FIFA World Cup,World Cup (final tournament),away,False,7,1,True,2014,2014,6,win,True,False,False,3,True
37896,2014-07-09,Argentina,Netherlands,FIFA World Cup,World Cup (final tournament),away,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37896,2014-07-09,Netherlands,Argentina,FIFA World Cup,World Cup (final tournament),home,True,0,0,True,2014,2014,0,draw,False,True,False,1,False
37898,2014-07-12,Brazil,Netherlands,FIFA World Cup,World Cup (final tournament),home,False,0,3,True,2014,2014,-3,loss,False,False,True,0,False
37898,2014-07-12,Netherlands,Brazil,FIFA World Cup,World Cup (final tournament),away,False,3,0,True,2014,2014,3,win,True,False,False,3,True
37900,2014-07-13,Argentina,Germany,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2014,2014,-1,loss,False,False,True,0,False
37900,2014-07-13,Germany,Argentina,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2014,2014,1,win,True,False,False,3,False
41606,2018-06-14,Russia,Saudi Arabia,FIFA World Cup,World Cup (final tournament),home,False,5,0,True,2018,2018,5,win,True,False,False,3,True
41606,2018-06-14,Saudi Arabia,Russia,FIFA World Cup,World Cup (final tournament),away,False,0,5,True,2018,2018,-5,loss,False,False,True,0,False
41607,2018-06-15,Egypt,Uruguay,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41607,2018-06-15,Uruguay,Egypt,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41608,2018-06-15,Iran,Morocco,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41608,2018-06-15,Morocco,Iran,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
