scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
12383,Ervin Fakaj,Albania,1,0,0,2000-10-11,2000-10-11,12383. Ervin Fakaj
12384,Felix Khojoyan,Armenia,1,0,0,2000-10-11,2000-10-11,12384. Felix Khojoyan
12385,Maksim Buznikin,Russia,1,0,0,2000-10-11,2000-10-11,12385. Maksim Buznikin
12386,Daniel Velasquez,El Salvador,1,0,0,2000-10-08,2000-10-08,12386. Daniel Velasquez
12387,Euller,Brazil,1,0,0,2000-10-08,2000-10-08,12387. Euller
12388,Jaime Vladimir Cubías,El Salvador,1,0,0,2000-10-08,2000-10-08,12388. Jaime Vladimir Cubías
12389,Juninho Paulista,Brazil,1,0,0,2000-10-08,2000-10-08,12389. Juninho Paulista
12390,Mario Acevedo,Guatemala,1,0,0,2000-10-08,2000-10-08,12390. Mario Acevedo
12391,Roberto Ayala,Uruguay,1,0,1,2000-10-08,2000-10-08,12391. Roberto Ayala
12392,Dietmar Hamann,Germany,1,0,0,2000-10-07,2000-10-07,12392. Dietmar Hamann
12393,Jurgen Cavens,Belgium,1,0,0,2000-10-07,2000-10-07,12393. Jurgen Cavens
12394,Marco Zwyssig,Switzerland,1,0,0,2000-10-07,2000-10-07,12394. Marco Zwyssig
12395,Matt Elliott,Scotland,1,0,0,2000-10-07,2000-10-07,12395. Matt Elliott
12396,Argjend Beqiri,North Macedonia,1,0,0,2000-10-06,2000-10-06,12396. Argjend Beqiri
12397,Goran Stavrevski,Slovakia,1,0,1,2000-09-03,2000-09-03,12397. Goran Stavrevski
12398,Marco Antonio Sandy,Brazil,1,0,1,2000-09-03,2000-09-03,12398. Marco Antonio Sandy
12399,Reynold Carrington,Trinidad and Tobago,1,0,0,2000-09-03,2000-09-03,12399. Reynold Carrington
12400,Stokely Mason,Trinidad and Tobago,1,0,0,2000-09-03,2000-09-03,12400. Stokely Mason
