elo_rank,elo_label,team,elo_rating,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,last_match_date
185,185. South Yemen,South Yemen,1471.4,3,0,0,3,1,8,-7,1982-11-25
186,186. Rwanda,Rwanda,1470.9,280,88,74,118,289,336,-47,2026-03-30
187,187. El Salvador,El Salvador,1469.5,612,200,137,275,766,932,-166,2026-03-29
188,188. Hmong,Hmong,1468.9,3,1,0,2,6,10,-4,2023-08-08
189,189. Dominican Republic,Dominican Republic,1468.6,158,62,26,70,264,250,14,2026-03-29
190,190. Niue,Niue,1468.0,2,0,0,2,0,33,-33,1983-08-22
191,191. North Vietnam,North Vietnam,1466.9,24,7,3,14,49,52,-3,1970-09-20
192,192. Aymara,Aymara,1466.3,2,0,0,2,1,4,-3,2022-06-19
193,193. Kabylia,Kabylia,1464.1,6,1,2,3,8,15,-7,2018-06-09
194,194. Sápmi,Sápmi,1463.0,29,12,2,15,90,54,36,2023-07-16
195,195. Nicaragua,Nicaragua,1461.8,220,51,26,143,234,530,-296,2026-03-27
196,196. Romani people,Romani people,1461.4,7,2,0,5,13,26,-13,2016-05-16
197,197. Comoros,Comoros,1460.4,150,35,35,80,133,244,-111,2026-03-31
198,198. Chechnya,Chechnya,1459.9,3,0,1,2,3,29,-26,2006-02-18
199,199. Papua New Guinea,Papua New Guinea,1457.6,155,52,29,74,336,312,24,2025-11-23
200,200. Armenia,Armenia,1456.3,270,65,55,150,272,497,-225,2026-03-29
201,201. Equatorial Guinea,Equatorial Guinea,1453.9,178,49,40,89,156,261,-105,2026-03-31
202,202. Guyana,Guyana,1453.1,313,103,61,149,428,550,-122,2026-03-30
203,203. Niger,Niger,1449.8,258,61,61,136,255,421,-166,2026-03-31
204,204. Zimbabwe,Zimbabwe,1448.1,494,189,139,166,659,589,70,2026-03-28
205,205. Azerbaijan,Azerbaijan,1447.0,308,60,79,169,236,517,-281,2026-03-30
206,206. Saarland,Saarland,1446.5,9,1,2,6,10,26,-16,1956-06-06
207,207. Kyrgyzstan,Kyrgyzstan,1445.7,189,57,31,101,220,321,-101,2026-03-28
208,208. Monaco,Monaco,1445.6,24,8,6,10,41,88,-47,2017-04-29
209,209. Sudan,Sudan,1444.7,469,151,118,200,508,634,-126,2026-01-03
210,210. Faroe Islands,Faroe Islands,1444.7,285,56,36,193,239,643,-404,2026-03-28
211,211. Martinique,Martinique,1444.5,331,145,85,101,586,431,155,2026-03-29
212,212. Găgăuzia,Găgăuzia,1443.7,3,0,1,2,2,9,-7,2006-11-21
213,213. Ticino,Ticino,1443.5,2,0,0,2,2,13,-11,2023-08-06
214,214. Provence,Provence,1443.3,19,6,1,12,47,54,-7,2013-02-13
215,215. Mauritania,Mauritania,1441.9,269,51,70,148,195,428,-233,2026-03-27
216,216. Estonia,Estonia,1441.1,548,134,122,292,542,974,-432,2026-03-30
217,217. Western Isles,Western Isles,1440.5,34,13,4,17,51,77,-26,2025-07-17
218,218. Palau,Palau,1440.3,2,0,0,2,4,21,-17,1998-08-01
219,219. Greenland,Greenland,1439.9,77,25,10,42,145,159,-14,2024-06-01
220,220. Manchukuo,Manchukuo,1439.5,3,0,0,3,0,16,-16,1942-08-09
221,221. Gotland,Gotland,1438.8,30,11,4,15,81,57,24,2017-06-29
222,222. Two Sicilies,Two Sicilies,1431.7,6,1,0,5,3,18,-15,2023-07-02
223,223. Marshall Islands,Marshall Islands,1431.4,2,0,0,2,2,7,-5,2025-08-16
224,224. Tajikistan,Tajikistan,1430.7,199,77,42,80,295,276,19,2025-11-18
225,225. Sierra Leone,Sierra Leone,1429.6,299,90,78,131,288,412,-124,2026-03-30
226,226. Malawi,Malawi,1428.2,642,219,181,242,752,830,-78,2026-03-31
227,227. Fiji,Fiji,1428.0,267,116,48,103,607,437,170,2025-11-20
228,228. Mayotte,Mayotte,1427.0,38,11,11,16,51,56,-5,2023-08-26
229,229. Vanuatu,Vanuatu,1425.8,213,68,29,116,401,459,-58,2025-11-23
230,230. Lebanon,Lebanon,1425.2,333,93,92,148,385,469,-84,2025-11-26
231,231. Orkney,Orkney,1420.5,28,9,1,18,38,84,-46,2025-07-17
232,232. Sark,Sark,1420.5,4,0,0,4,0,70,-70,2003-07-03
233,233. Barawa,Barawa,1417.1,12,3,0,9,16,46,-30,2019-05-25
234,234. Botswana,Botswana,1416.7,332,90,92,150,268,426,-158,2026-03-31
235,235. Vatican City,Vatican City,1413.0,7,0,3,4,4,17,-13,2019-03-23
236,236. Ambazonia,Ambazonia,1411.5,6,0,1,5,3,17,-14,2007-06-07
237,237. Malta,Malta,1409.0,456,64,78,314,295,1025,-730,2025-11-17
238,238. Cyprus,Cyprus,1407.8,424,81,71,272,372,926,-554,2026-03-30
239,239. Vietnam Republic,Vietnam Republic,1405.8,195,82,37,76,364,312,52,1975-03-23
240,240. Saint Barthélemy,Saint Barthélemy,1405.3,10,4,1,5,25,30,-5,2023-03-10
241,241. Western Australia,Western Australia,1404.5,32,11,3,18,63,75,-12,1980-11-25
242,242. French Guiana,French Guiana,1403.3,179,54,39,86,267,306,-39,2024-11-19
243,243. Raetia,Raetia,1400.3,26,6,5,15,43,103,-60,2023-08-06
244,244. Namibia,Namibia,1395.5,279,70,80,129,273,397,-124,2026-03-28
245,245. Burundi,Burundi,1394.1,217,65,52,100,237,290,-53,2025-10-14
246,246. Tanzania,Tanzania,1392.4,599,163,171,265,660,892,-232,2026-03-29
247,247. Turkmenistan,Turkmenistan,1391.2,175,64,32,79,265,266,-1,2025-11-18
248,248. Micronesia,Micronesia,1389.1,7,1,0,6,8,59,-51,2003-07-07
249,249. Ethiopia,Ethiopia,1388.8,407,143,92,172,547,594,-47,2025-10-12
250,250. Liberia,Liberia,1388.2,300,78,70,152,267,443,-176,2026-03-31
251,251. Cuba,Cuba,1387.3,397,139,90,168,532,605,-73,2026-03-29
252,252. Latvia,Latvia,1385.8,459,128,110,221,540,762,-222,2025-11-16
253,253. Yemen DPR,Yemen DPR,1384.7,25,5,3,17,25,69,-44,1989-11-05
254,254. Lithuania,Lithuania,1381.9,431,111,83,237,430,784,-354,2026-03-29
255,255. Darfur,Darfur,1376.4,7,0,0,7,1,99,-98,2014-06-07
256,256. Lesotho,Lesotho,1374.7,295,54,93,148,229,465,-236,2025-11-18
257,257. Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1373.4,236,88,51,97,372,442,-70,2026-03-29
258,258. Saint Helena,Saint Helena,1371.2,8,0,0,8,6,41,-35,2023-07-13
259,259. Solomon Islands,Solomon Islands,1370.9,214,90,35,89,462,421,41,2026-03-30
260,260. Puerto Rico,Puerto Rico,1368.5,162,41,26,95,205,379,-174,2026-03-28
261,261. Hitra,Hitra,1365.6,23,6,1,16,37,92,-55,2025-07-17
262,262. Saint Pierre and Miquelon,Saint Pierre and Miquelon,1365.1,7,0,0,7,2,78,-76,2012-09-28
263,263. Hong Kong,Hong Kong,1364.4,444,141,96,207,640,730,-90,2025-11-18
264,264. Central African Republic,Central African Republic,1362.7,136,29,28,79,145,259,-114,2025-10-12
265,265. Guinea-Bissau,Guinea-Bissau,1362.5,190,52,44,94,189,280,-91,2026-03-31
266,266. Chagos Islands,Chagos Islands,1361.5,16,3,2,11,28,76,-48,2019-12-29
267,267. Moldova,Moldova,1353.0,297,58,68,171,240,519,-279,2026-03-30
268,268. Philippines,Philippines,1349.4,338,91,52,195,402,776,-374,2025-11-18
269,269. Saare County,Saare County,1345.7,35,5,5,25,41,89,-48,2017-06-29
270,270. Singapore,Singapore,1342.1,694,218,141,335,933,1267,-334,2025-11-18
271,271. Congo,Congo,1340.0,406,134,99,173,523,598,-75,2025-10-14
272,272. Bermuda,Bermuda,1335.9,197,67,33,97,325,349,-24,2026-03-25
273,273. Kiribati,Kiribati,1330.5,11,0,1,10,7,126,-119,2011-09-05
274,274. Wallis Islands and Futuna,Wallis Islands and Futuna,1321.3,24,5,0,19,23,109,-86,1995-08-20
275,275. Eswatini,Eswatini,1312.2,274,55,83,136,231,455,-224,2025-10-13
276,276. Sint Maarten,Sint Maarten,1312.1,60,20,10,30,88,153,-65,2026-03-30
277,277. Belize,Belize,1309.7,121,31,20,70,133,233,-100,2026-03-30
278,278. India,India,1309.5,530,190,119,221,728,855,-127,2025-11-18
279,279. Saint Kitts and Nevis,Saint Kitts and Nevis,1308.6,226,90,42,94,387,372,15,2026-03-30
280,280. Grenada,Grenada,1305.8,259,86,56,117,422,479,-57,2026-03-30
281,281. Yemen,Yemen,1300.4,266,53,54,159,259,577,-318,2025-11-26
282,282. Tibet,Tibet,1299.9,16,0,2,14,14,66,-52,2023-08-06
283,283. Samoa,Samoa,1287.5,71,22,4,45,99,249,-150,2024-11-18
284,284. South Sudan,South Sudan,1278.6,78,12,16,50,50,142,-92,2025-11-25
285,285. Saint Martin,Saint Martin,1277.5,68,25,5,38,101,167,-66,2026-03-29
286,286. Tuvalu,Tuvalu,1271.6,39,8,4,27,45,208,-163,2023-11-30
287,287. Saint Lucia,Saint Lucia,1262.9,230,80,33,117,327,438,-111,2026-03-27
288,288. Chad,Chad,1261.9,138,26,34,78,117,238,-121,2025-11-17
289,289. Montserrat,Montserrat,1261.1,66,17,7,42,72,195,-123,2025-06-10
290,290. Falkland Islands,Falkland Islands,1258.0,33,6,1,26,31,121,-90,2023-07-13
291,291. Mauritius,Mauritius,1235.2,325,91,72,162,412,523,-111,2025-10-13
292,292. Frøya,Frøya,1235.0,37,7,2,28,60,146,-86,2025-07-17
293,293. Aruba,Aruba,1231.9,151,32,31,88,199,353,-154,2026-03-29
294,294. Eritrea,Eritrea,1222.9,71,11,16,44,48,121,-73,2019-09-10
295,295. Cook Islands,Cook Islands,1217.8,53,11,4,38,43,264,-221,2024-09-06
296,296. Bonaire,Bonaire,1216.4,43,14,6,23,63,107,-44,2026-03-29
297,297. Afghanistan,Afghanistan,1214.9,144,35,34,75,141,289,-148,2025-10-14
298,298. Gibraltar,Gibraltar,1199.6,157,37,20,100,169,394,-225,2025-11-17
299,299. Dominica,Dominica,1199.2,215,52,46,117,250,436,-186,2026-03-30
300,300. Myanmar,Myanmar,1195.3,510,209,90,211,814,840,-26,2025-10-14
301,301. São Tomé and Príncipe,São Tomé and Príncipe,1191.5,71,9,10,52,53,182,-129,2025-10-13
