team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate,consistency_score,n_win_rate,n_avg_goal_diff,n_points_per_match,n_dominant_win_rate,n_consistency,dominance_index
Jordan,479,178,134,167,613,533,80,668,59,0.37160751565762007,0.2797494780793319,0.348643006263048,0.16701461377870563,1.279749478079332,1.1127348643006263,1.394572025052192,0.12317327766179541,0.0,0.5037552481099588,0.6576259177019946,0.5699885910729998,0.49104655882471937,0.0,53.22454553822862
Republic of Ireland,630,241,178,211,851,768,83,901,67,0.3825396825396825,0.28253968253968254,0.3349206349206349,0.13174603174603175,1.3507936507936509,1.2190476190476192,1.4301587301587302,0.10634920634920635,0.0,0.5244407914576572,0.6466840376514412,0.5914996146530237,0.41612683053524563,0.0,53.04584352062144
Myanmar,510,209,90,211,814,840,-26,717,72,0.40980392156862744,0.17647058823529413,0.4137254901960784,-0.050980392156862744,1.5960784313725491,1.6470588235294117,1.4058823529411764,0.1411764705882353,0.0,0.5760294293150454,0.5899941880124685,0.576825322070977,0.5712170655547153,0.0,52.94498692284344
Indonesia,723,279,142,302,1205,1173,32,979,110,0.38589211618257263,0.19640387275242047,0.41770401106500693,0.04426002766251729,1.6666666666666667,1.6224066390041494,1.3540802213001384,0.15214384508990317,0.0,0.53078417353263,0.6195419948583056,0.5455125924465325,0.6200561784214695,0.0,52.84832611049824
Zimbabwe,494,189,139,166,659,589,70,706,44,0.3825910931174089,0.2813765182186235,0.3360323886639676,0.1417004048582996,1.334008097165992,1.1923076923076923,1.4291497975708503,0.08906882591093117,0.0,0.5245380691287321,0.6497723261590989,0.5908897472145079,0.33917509970148696,0.0,52.35930889474677
Guinea,538,200,153,185,730,659,71,753,51,0.37174721189591076,0.2843866171003718,0.34386617100371747,0.13197026022304834,1.3568773234200744,1.224907063197026,1.399628252788104,0.09479553903345725,0.0,0.5040195774623961,0.6467536032806225,0.5730449188147101,0.3646768812358041,0.0,51.657089675710125
Turkey,640,257,152,231,893,903,-10,923,58,0.4015625,0.2375,0.3609375,-0.015625,1.3953125,1.4109375,1.4421875,0.090625,0.0,0.5604352397144253,0.6009630004178631,0.5987706208032024,0.34610494074637815,0.0,51.48462754426385
Curaçao,383,142,100,141,630,604,26,526,45,0.370757180156658,0.26109660574412535,0.3681462140992167,0.06788511749347259,1.6449086161879896,1.577023498694517,1.3733681462140992,0.1174934725848564,0.0,0.5021462668297608,0.6268715466637732,0.5571715253652115,0.46575366478051555,0.0,51.46537450900394
Jamaica,660,257,154,249,880,870,10,925,66,0.3893939393939394,0.23333333333333334,0.37727272727272726,0.015151515151515152,1.3333333333333333,1.3181818181818181,1.4015151515151516,0.1,0.0,0.5374102264109079,0.6105112418767894,0.5741854886676684,0.38785300752901525,0.0,51.14932820970587
Switzerland,882,315,203,364,1315,1443,-128,1148,77,0.35714285714285715,0.23015873015873015,0.4126984126984127,-0.14512471655328799,1.4909297052154196,1.6360544217687074,1.3015873015873016,0.0873015873015873,0.4803746624370394,0.4763856219466655,0.5607864386328152,0.5137823035550309,0.33130536151655443,0.4803746624370394,50.916966420039564
Oman,542,206,137,199,701,680,21,755,46,0.3800738007380074,0.25276752767527677,0.3671586715867159,0.03874538745387454,1.2933579335793357,1.2546125461254614,1.3929889298892988,0.08487084870848709,0.0,0.5197749182186979,0.6178311086188468,0.5690316607453264,0.32048097355752714,0.0,50.302456638302814
Syria,483,173,120,190,691,634,57,639,51,0.3581780538302277,0.2484472049689441,0.39337474120082816,0.11801242236024845,1.4306418219461698,1.3126293995859213,1.3229813664596273,0.10559006211180125,0.0,0.4783443924430375,0.6424232622559013,0.5267143306298444,0.41274626474102244,0.0,50.19354509992945
Canada,467,178,107,182,605,611,-6,641,47,0.3811563169164882,0.2291220556745182,0.3897216274089936,-0.01284796573875803,1.2955032119914347,1.3083511777301928,1.3725910064239828,0.1006423982869379,0.0,0.521823225345375,0.6018245597443661,0.5567017692498274,0.3907136887646563,0.0,50.1029793756617
Paraguay,782,274,208,300,999,1113,-114,1030,55,0.35038363171355497,0.2659846547314578,0.3836317135549872,-0.14578005115089515,1.2774936061381075,1.4232736572890026,1.3171355498721227,0.07033248081841433,0.4353233882971188,0.46359600282329577,0.560583124744172,0.5231807217137663,0.2557397731750948,0.4353233882971188,49.7800943772288
Kenya,705,268,175,262,977,957,20,979,54,0.3801418439716312,0.24822695035460993,0.37163120567375885,0.028368794326241134,1.3858156028368793,1.3574468085106384,1.3886524822695034,0.07659574468085106,0.0,0.5199036677405291,0.6146118287161058,0.5664104170329991,0.2836308833624319,0.0,49.73777222120227
Libya,384,143,92,149,500,466,34,521,30,0.3723958333333333,0.23958333333333334,0.3880208333333333,0.08854166666666667,1.3020833333333333,1.2135416666666667,1.3567708333333333,0.078125,0.0,0.5052468809791458,0.6332801253557675,0.5471389812543043,0.2904408517028621,0.0,49.66033453454903
Greece,631,240,154,237,792,875,-83,874,40,0.3803486529318542,0.24405705229793978,0.375594294770206,-0.13153724247226625,1.255150554675119,1.386687797147385,1.3851030110935023,0.06339144215530904,0.22339400707121612,0.5202949859263504,0.5650018763684976,0.5642648753781875,0.2248304456392883,0.22339400707121612,49.587047350680244
Norway,870,327,195,348,1347,1414,-67,1176,100,0.3758620689655172,0.22413793103448276,0.4,-0.07701149425287357,1.5482758620689656,1.625287356321839,1.3517241379310345,0.11494252873563218,0.0,0.5118055960258878,0.5819181843768705,0.5440884155029923,0.45439398753505744,0.0,49.50721713442489
Slovenia,315,114,85,116,390,369,21,427,26,0.3619047619047619,0.2698412698412698,0.3682539682539683,0.06666666666666667,1.2380952380952381,1.1714285714285715,1.3555555555555556,0.08253968253968254,0.0,0.4853959662299764,0.6264935291188076,0.5464043847566575,0.3100999942618817,0.0,49.295194702832944
Guatemala,552,199,140,213,773,755,18,737,55,0.3605072463768116,0.2536231884057971,0.3858695652173913,0.03260869565217391,1.4003623188405796,1.3677536231884058,1.335144927536232,0.09963768115942029,0.0,0.48275162605987426,0.6159272343565014,0.5340668137651216,0.3862395556726814,0.0,49.27675563589179
Israel,497,180,116,201,749,737,12,656,53,0.36217303822937624,0.23340040241448692,0.4044265593561368,0.02414486921529175,1.5070422535211268,1.482897384305835,1.3199195171026157,0.10663983903420524,0.0,0.4859035912600221,0.6133013796069322,0.524863540748624,0.41742105482778435,0.0,49.267738369352536
Angola,413,140,147,126,466,427,39,567,20,0.3389830508474576,0.3559322033898305,0.3050847457627119,0.09443099273607748,1.1283292978208233,1.0338983050847457,1.3728813559322033,0.048426150121065374,0.0,0.4420241395103102,0.6351072557850654,0.5568772762291636,0.15818809777077944,0.0,47.72221612910901
Madagascar,319,118,73,128,434,480,-46,427,30,0.36990595611285265,0.22884012539184953,0.4012539184952978,-0.14420062695924765,1.3605015673981191,1.5047021943573669,1.3385579937304075,0.09404388714733543,0.0,0.5005356042734079,0.5610731322539136,0.536129902976761,0.36132967983429914,0.0,47.413975076378215
Bahrain,583,207,154,222,725,754,-29,775,48,0.35506003430531735,0.2641509433962264,0.38078902229845624,-0.04974271012006861,1.2435677530017153,1.2933104631217838,1.3293310463121784,0.0823327615780446,0.0,0.47244456226871656,0.5903781719326266,0.5305525087535261,0.3091785489151949,0.0,47.3284220575869
