team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Egypt,754,378,185,191,1223,764,459,1319,103,0.5013262599469496,0.2453580901856764,0.253315649867374,0.6087533156498673,1.6220159151193634,1.013262599469496,1.7493368700265253,0.13660477453580902
Australia,579,296,122,161,1166,617,549,1010,110,0.5112262521588946,0.21070811744386875,0.27806563039723664,0.9481865284974094,2.0138169257340244,1.0656303972366148,1.7443868739205526,0.18998272884283246
Iraqi Kurdistan,27,13,8,6,61,27,34,47,8,0.48148148148148145,0.2962962962962963,0.2222222222222222,1.2592592592592593,2.259259259259259,1.0,1.7407407407407407,0.2962962962962963
France,933,476,195,262,1711,1206,505,1623,140,0.5101822079314041,0.2090032154340836,0.2808145766345123,0.5412647374062165,1.8338692390139335,1.292604501607717,1.7395498392282958,0.15005359056806003
Portugal,693,347,159,187,1223,776,447,1200,119,0.5007215007215007,0.22943722943722944,0.2698412698412698,0.645021645021645,1.7647907647907648,1.1197691197691197,1.7316017316017316,0.1717171717171717
Ellan Vannin,22,11,5,6,54,32,22,38,4,0.5,0.22727272727272727,0.2727272727272727,1.0,2.4545454545454546,1.4545454545454546,1.7272727272727273,0.18181818181818182
Abkhazia,32,14,13,5,51,26,25,55,3,0.4375,0.40625,0.15625,0.78125,1.59375,0.8125,1.71875,0.09375
Nigeria,657,309,191,157,1000,658,342,1118,84,0.4703196347031963,0.2907153729071537,0.2389649923896499,0.5205479452054794,1.5220700152207,1.0015220700152208,1.7016742770167428,0.1278538812785388
Arameans Suryoye,10,5,2,3,16,12,4,17,2,0.5,0.2,0.3,0.4,1.6,1.2,1.7,0.2
Japan,789,389,165,235,1442,910,532,1332,151,0.49302915082382764,0.20912547528517111,0.29784537389100124,0.6742712294043093,1.8276299112801013,1.1533586818757922,1.688212927756654,0.19138149556400508
